Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,collection_date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,dev_stage,Ecotype,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,isolate,Library Name,LibraryLayout,LibrarySelection,LibrarySource,MBases,MBytes,Organism,Platform,ReleaseDate,sample_acc,Sample Name,sex,SRA Study,tissue,alignment_software,AssemblyName
SRR2859090,WGS,201,7981121,PRJNA279205,SAMN03452878,Model organism or animal,35061155,STANFORD UNIVERSITY,01-Aug-2011,public,sra,"ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",adult,wild,SRX1397428,USA,North America,USA: Pennsylvania,Illumina HiSeq 2000,A_1_1,Pennsylvania.A_1_1 aligned,PAIRED,size fractionation,GENOMIC,7,33,Drosophila simulans,ILLUMINA,2015-10-20T00:00:00Z,SRS1067942,A_1_1,female,SRP063680,whole,bwa,assembly
SRR2859091,WGS,201,72321555,PRJNA279205,SAMN03452832,Model organism or animal,72693163,STANFORD UNIVERSITY,01-Sep-2011,public,sra,"s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",adult,wild,SRX1397429,USA,North America,USA: Pennsylvania,Illumina HiSeq 2000,A_10_1,Pennsylvania.A_10_1 aligned,PAIRED,size fractionation,GENOMIC,72,69,Drosophila simulans,ILLUMINA,2015-10-20T00:00:00Z,SRS1067988,A_10_1,female,SRP063680,whole,bwa,assembly
SRR2859092,WGS,201,146790269,PRJNA279205,SAMN03452883,Model organism or animal,120183329,STANFORD UNIVERSITY,01-Aug-2011,public,sra,"gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",adult,wild,SRX1397430,USA,North America,USA: Pennsylvania,Illumina HiSeq 2000,A_11_1,Pennsylvania.A_11_1 aligned,PAIRED,size fractionation,GENOMIC,146,114,Drosophila simulans,ILLUMINA,2015-10-20T00:00:00Z,SRS1067938,A_11_1,female,SRP063680,whole,bwa,assembly
SRR2859093,WGS,201,247084380,PRJNA279205,SAMN03452833,Model organism or animal,179417334,STANFORD UNIVERSITY,01-Sep-2011,public,sra,"gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",adult,wild,SRX1397431,USA,North America,USA: Pennsylvania,Illumina HiSeq 2000,A_12_1,Pennsylvania.A_12_1 aligned,PAIRED,size fractionation,GENOMIC,247,171,Drosophila simulans,ILLUMINA,2015-10-20T00:00:00Z,SRS1067987,A_12_1,female,SRP063680,whole,bwa,assembly
SRR2859094,WGS,201,75955737,PRJNA279205,SAMN03452884,Model organism or animal,75367065,STANFORD UNIVERSITY,01-Aug-2011,public,sra,"ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",adult,wild,SRX1397432,USA,North America,USA: Pennsylvania,Illumina HiSeq 2000,A_13_1,Pennsylvania.A_13_1 aligned,PAIRED,size fractionation,GENOMIC,75,71,Drosophila simulans,ILLUMINA,2015-10-20T00:00:00Z,SRS1067936,A_13_1,female,SRP063680,whole,bwa,assembly
SRR2859095,WGS,201,362809473,PRJNA279205,SAMN03452834,Model organism or animal,245788940,STANFORD UNIVERSITY,01-Sep-2011,public,sra,"gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",adult,wild,SRX1397433,USA,North America,USA: Pennsylvania,Illumina HiSeq 2000,A_14_1,Pennsylvania.A_14_1 aligned,PAIRED,size fractionation,GENOMIC,362,234,Drosophila simulans,ILLUMINA,2015-10-20T00:00:00Z,SRS1067986,A_14_1,female,SRP063680,whole,bwa,assembly
SRR2859096,WGS,201,105194530,PRJNA279205,SAMN03452885,Model organism or animal,93291055,STANFORD UNIVERSITY,01-Aug-2011,public,sra,"s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",adult,wild,SRX1397434,USA,North America,USA: Pennsylvania,Illumina HiSeq 2000,A_15_1,Pennsylvania.A_15_1 aligned,PAIRED,size fractionation,GENOMIC,105,88,Drosophila simulans,ILLUMINA,2015-10-20T00:00:00Z,SRS1067935,A_15_1,female,SRP063680,whole,bwa,assembly
SRR2859097,WGS,201,273861500,PRJNA279205,SAMN03452835,Model organism or animal,195003935,STANFORD UNIVERSITY,01-Sep-2011,public,sra,"gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",adult,wild,SRX1397435,USA,North America,USA: Pennsylvania,Illumina HiSeq 2000,A_16_1,Pennsylvania.A_16_1 aligned,PAIRED,size fractionation,GENOMIC,273,185,Drosophila simulans,ILLUMINA,2015-10-20T00:00:00Z,SRS1067985,A_16_1,female,SRP063680,whole,bwa,assembly
SRR2859098,WGS,201,219451487,PRJNA279205,SAMN03452886,Model organism or animal,158337659,STANFORD UNIVERSITY,01-Aug-2011,public,sra,"ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",adult,wild,SRX1397436,USA,North America,USA: Pennsylvania,Illumina HiSeq 2000,A_17_1,Pennsylvania.A_17_1 aligned,PAIRED,size fractionation,GENOMIC,219,151,Drosophila simulans,ILLUMINA,2015-10-20T00:00:00Z,SRS1067934,A_17_1,female,SRP063680,whole,bwa,assembly
SRR2859099,WGS,201,282512251,PRJNA279205,SAMN03452836,Model organism or animal,198406327,STANFORD UNIVERSITY,01-Sep-2011,public,sra,"gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",adult,wild,SRX1397437,USA,North America,USA: Pennsylvania,Illumina HiSeq 2000,A_18_1,Pennsylvania.A_18_1 aligned,PAIRED,size fractionation,GENOMIC,282,189,Drosophila simulans,ILLUMINA,2015-10-20T00:00:00Z,SRS1067984,A_18_1,female,SRP063680,whole,bwa,assembly
