Run,Alias,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Description,ENA_CHECKLIST,ENA-FIRST-PUBLIC (run),ENA-LAST-UPDATE (run),Experiment,INSDC_center_alias,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,sample_name,SRA_accession,SRA Study,title
ERR2860933,Dsim_Fl_Base_4,WGS,200,2466105200,PRJEB29281,SAMEA5044021,1712537540,"INSTITUT FR POPULATIONSGENETIK, VETMEDUNI VIENNA",public,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",Drosophila simulans Florida Base replicate 4,ERC000011,2019-02-08,2018-11-16,ERX2867176,"INSTITUT FR POPULATIONSGENETIK, VETMEDUNI VIENNA","INSTITUT FR POPULATIONSGENETIK, VETMEDUNI VIENNA",2019-02-08T17:04:10Z,2018-10-24T18:24:12Z,public,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,GENOMIC,Drosophila simulans,ILLUMINA,2019-02-13T00:00:00Z,SAMEA5044021,ERS2855755,ERS2855755,ERP111575,Dsim_Fl_Base_4
ERR2860934,Dsim_Fl_Base_6,WGS,200,2837389800,PRJEB29281,SAMEA5044022,1960556084,"INSTITUT FR POPULATIONSGENETIK, VETMEDUNI VIENNA",public,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",Drosophila simulans Florida Base replicate 6,ERC000011,2019-02-08,2018-11-16,ERX2867177,"INSTITUT FR POPULATIONSGENETIK, VETMEDUNI VIENNA","INSTITUT FR POPULATIONSGENETIK, VETMEDUNI VIENNA",2019-02-08T17:04:10Z,2018-10-24T18:24:12Z,public,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,GENOMIC,Drosophila simulans,ILLUMINA,2019-02-13T00:00:00Z,SAMEA5044022,ERS2855756,ERS2855756,ERP111575,Dsim_Fl_Base_6
ERR2860935,Dsim_Fl_Base_7,WGS,200,2531592600,PRJEB29281,SAMEA5044023,1752101917,"INSTITUT FR POPULATIONSGENETIK, VETMEDUNI VIENNA",public,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",Drosophila simulans Florida Base replicate 7,ERC000011,2019-02-08,2018-11-16,ERX2867178,"INSTITUT FR POPULATIONSGENETIK, VETMEDUNI VIENNA","INSTITUT FR POPULATIONSGENETIK, VETMEDUNI VIENNA",2019-02-08T17:04:10Z,2018-10-24T18:24:12Z,public,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,GENOMIC,Drosophila simulans,ILLUMINA,2019-02-13T00:00:00Z,SAMEA5044023,ERS2855757,ERS2855757,ERP111575,Dsim_Fl_Base_7
ERR2860937,Dsim_Fl_Base_9,WGS,200,4123764600,PRJEB29281,SAMEA5044025,2860561319,"INSTITUT FR POPULATIONSGENETIK, VETMEDUNI VIENNA",public,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",Drosophila simulans Florida Base replicate 9,ERC000011,2019-02-08,2018-11-16,ERX2867180,"INSTITUT FR POPULATIONSGENETIK, VETMEDUNI VIENNA","INSTITUT FR POPULATIONSGENETIK, VETMEDUNI VIENNA",2019-02-08T17:04:10Z,2018-10-24T18:24:12Z,public,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,GENOMIC,Drosophila simulans,ILLUMINA,2019-02-13T00:00:00Z,SAMEA5044025,ERS2855759,ERS2855759,ERP111575,Dsim_Fl_Base_9
ERR2860939,Dsim_Fl_Base_2,WGS,200,2790608800,PRJEB29281,SAMEA5044020,1887266032,"INSTITUT FR POPULATIONSGENETIK, VETMEDUNI VIENNA",public,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",Drosophila simulans Florida Base replicate 2,ERC000011,2019-02-08,2018-11-16,ERX2867182,"INSTITUT FR POPULATIONSGENETIK, VETMEDUNI VIENNA","INSTITUT FR POPULATIONSGENETIK, VETMEDUNI VIENNA",2019-02-08T17:04:10Z,2018-10-24T18:24:12Z,public,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,GENOMIC,Drosophila simulans,ILLUMINA,2019-02-13T00:00:00Z,SAMEA5044020,ERS2855754,ERS2855754,ERP111575,Dsim_Fl_Base_2
ERR2860941,Dsim_Fl_Base_6,WGS,200,3218600800,PRJEB29281,SAMEA5044022,2167251461,"INSTITUT FR POPULATIONSGENETIK, VETMEDUNI VIENNA",public,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",Drosophila simulans Florida Base replicate 6,ERC000011,2019-02-08,2018-11-16,ERX2867184,"INSTITUT FR POPULATIONSGENETIK, VETMEDUNI VIENNA","INSTITUT FR POPULATIONSGENETIK, VETMEDUNI VIENNA",2019-02-08T17:04:10Z,2018-10-24T18:24:12Z,public,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,GENOMIC,Drosophila simulans,ILLUMINA,2019-02-13T00:00:00Z,SAMEA5044022,ERS2855756,ERS2855756,ERP111575,Dsim_Fl_Base_6
ERR2860942,Dsim_Fl_Base_7,WGS,200,3029117000,PRJEB29281,SAMEA5044023,2045523299,"INSTITUT FR POPULATIONSGENETIK, VETMEDUNI VIENNA",public,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",Drosophila simulans Florida Base replicate 7,ERC000011,2019-02-08,2018-11-16,ERX2867185,"INSTITUT FR POPULATIONSGENETIK, VETMEDUNI VIENNA","INSTITUT FR POPULATIONSGENETIK, VETMEDUNI VIENNA",2019-02-08T17:04:10Z,2018-10-24T18:24:12Z,public,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,GENOMIC,Drosophila simulans,ILLUMINA,2019-02-13T00:00:00Z,SAMEA5044023,ERS2855757,ERS2855757,ERP111575,Dsim_Fl_Base_7
ERR2860944,Dsim_Fl_Base_9,WGS,200,4680833000,PRJEB29281,SAMEA5044025,3163987268,"INSTITUT FR POPULATIONSGENETIK, VETMEDUNI VIENNA",public,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",Drosophila simulans Florida Base replicate 9,ERC000011,2019-02-08,2018-11-16,ERX2867187,"INSTITUT FR POPULATIONSGENETIK, VETMEDUNI VIENNA","INSTITUT FR POPULATIONSGENETIK, VETMEDUNI VIENNA",2019-02-08T17:04:10Z,2018-10-24T18:24:12Z,public,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,GENOMIC,Drosophila simulans,ILLUMINA,2019-02-13T00:00:00Z,SAMEA5044025,ERS2855759,ERS2855759,ERP111575,Dsim_Fl_Base_9
ERR2860946,Dsim_Fl_Base_2,WGS,200,2716947000,PRJEB29281,SAMEA5044020,1827237868,"INSTITUT FR POPULATIONSGENETIK, VETMEDUNI VIENNA",public,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",Drosophila simulans Florida Base replicate 2,ERC000011,2019-02-08,2018-11-16,ERX2867189,"INSTITUT FR POPULATIONSGENETIK, VETMEDUNI VIENNA","INSTITUT FR POPULATIONSGENETIK, VETMEDUNI VIENNA",2019-02-08T17:04:10Z,2018-10-24T18:24:12Z,public,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,GENOMIC,Drosophila simulans,ILLUMINA,2019-02-13T00:00:00Z,SAMEA5044020,ERS2855754,ERS2855754,ERP111575,Dsim_Fl_Base_2
ERR2860948,Dsim_Fl_Base_6,WGS,200,3133940000,PRJEB29281,SAMEA5044022,2099430429,"INSTITUT FR POPULATIONSGENETIK, VETMEDUNI VIENNA",public,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",Drosophila simulans Florida Base replicate 6,ERC000011,2019-02-08,2018-11-16,ERX2867191,"INSTITUT FR POPULATIONSGENETIK, VETMEDUNI VIENNA","INSTITUT FR POPULATIONSGENETIK, VETMEDUNI VIENNA",2019-02-08T17:04:10Z,2018-10-24T18:24:12Z,public,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,GENOMIC,Drosophila simulans,ILLUMINA,2019-02-13T00:00:00Z,SAMEA5044022,ERS2855756,ERS2855756,ERP111575,Dsim_Fl_Base_6
