row,author,species,numInd,p/i,continent,country,state,city,lat,long,year,month,day,biosamp,sra,identifier
1, Barghi,Drosophila_simulans,1000,P,North_America,USA,Florida,Tallahassee,30.4383,-84.2807,2010,Nov,NA,SAMEA104069544,ERR1980726,Barghi:Tallahassee:Florida:North_America:Nov:NA:2010:Dsim_Fl_Base_1
2, Machado,Drosophila_simulans,44,I,North_America,USA,Pennsylvania,Linvilla,39.88,-75.41,2011,Aug,01,SAMN03452878,SRR2859090,Machado:Linvilla:Pennsylvania:North_America:Aug:01:2011:A_1_1
3, Machado,Drosophila_simulans,50,I,North_America,USA,Pennsylvania,Linvilla,39.88,-75.41,2011,Sep,01,SAMN03452832,SRR2859091,Machado:Linvilla:Pennsylvania:North_America:Sep:01:2011:A_10_1
4, Machado,Drosophila_simulans,44,I,North_America,USA,Pennsylvania,Linvilla,39.88,-75.41,2011,Aug,01,SAMN03452883,SRR2859092,Machado:Linvilla:Pennsylvania:North_America:Aug:01:2011:A_11_1
5, Machado,Drosophila_simulans,50,I,North_America,USA,Pennsylvania,Linvilla,39.88,-75.41,2011,Sep,01,SAMN03452833,SRR2859093,Machado:Linvilla:Pennsylvania:North_America:Sep:01:2011:A_12_1
6, Machado,Drosophila_simulans,44,I,North_America,USA,Pennsylvania,Linvilla,39.88,-75.41,2011,Aug,01,SAMN03452884,SRR2859094,Machado:Linvilla:Pennsylvania:North_America:Aug:01:2011:A_13_1
7, Machado,Drosophila_simulans,50,I,North_America,USA,Pennsylvania,Linvilla,39.88,-75.41,2011,Sep,01,SAMN03452834,SRR2859095,Machado:Linvilla:Pennsylvania:North_America:Sep:01:2011:A_14_1
8, Machado,Drosophila_simulans,44,I,North_America,USA,Pennsylvania,Linvilla,39.88,-75.41,2011,Aug,01,SAMN03452885,SRR2859096,Machado:Linvilla:Pennsylvania:North_America:Aug:01:2011:A_15_1
9, Machado,Drosophila_simulans,50,I,North_America,USA,Pennsylvania,Linvilla,39.88,-75.41,2011,Sep,01,SAMN03452835,SRR2859097,Machado:Linvilla:Pennsylvania:North_America:Sep:01:2011:A_16_1
10, Machado,Drosophila_simulans,44,I,North_America,USA,Pennsylvania,Linvilla,39.88,-75.41,2011,Aug,01,SAMN03452886,SRR2859098,Machado:Linvilla:Pennsylvania:North_America:Aug:01:2011:A_17_1
11, Machado,Drosophila_simulans,50,I,North_America,USA,Pennsylvania,Linvilla,39.88,-75.41,2011,Sep,01,SAMN03452836,SRR2859099,Machado:Linvilla:Pennsylvania:North_America:Sep:01:2011:A_18_1
