RunningID,Code,Number ID,CC,Country,Location, Coll. Date ,Year,Month,Day,Lat (° N),Lon (° E),Alt (m),Season,n,Coll. name,In(2L)t,In(3R)C,In(3R)Payne,In(3R)Mo,In(3L)P,In(2R)NS,PC1,PC2,PC3,Cluster,2L_cov,2R_cov,3L_cov,3R_cov,4_cov,X_cov
1,AT_Mau_14_01,1,AT,Austria,Mauternbach,2014/07/20,2014,7,20,48.375,15.56,320,S,80,Andrea J. Betancourt,0.194219653,0.007921913,0.067708333,0.033119255,0.023381295,0.050675676,-0.0292547,-0.00320831,-0.00924092,3,52.2,52.6,52.2,52.8,46.6,25.2
2,AT_Mau_14_02,2,AT,Austria,Mauternbach,2014/10/19,2014,10,19,48.375,15.56,320,F,80,Andrea J.Betancourt,0.176008969,0.013052744,0.044093178,0.025841053,0.039882554,0.059876724,-0.0283885,-0.00401036,-0.0151316,3,54.7,55.4,54.5,55.7,46.6,26.1
3,TR_Yes_14_03,3,TR,Turkey,Yesiloz,2014/08/31,2014,8,31,40.231444,32.260328,704,S,80,Banu Sebnem Onder,0.147874307,0.029645542,0.085714286,0.012856569,0.036561649,0.047038328,0.0147521,0.00250122,-0.104062,4,35.2,35.0,35.0,35.3,33.2,16.9
4,TR_Yes_14_04,4,TR,Turkey,Yesiloz,2014/10/23,2014,10,23,40.231444,32.260328,704,F,80,Banu Sebnem Onder,0.144859813,0.032446897,0.137730359,0.016182698,0.029978587,0.012987013,0.0229672,0.00373229,-0.122565,4,43.6,44.8,43.5,44.8,34.3,20.9
5,FR_Vil_14_05,5,FR,France,Viltain,2014/08/18,2014,8,18,48.7543324,2.1584108,154.4,S,80,Catherine Montchamp-Moreau,0.138429752,0.050879696,0.035186488,0.034584013,0.050713502,0.047581493,0.0703652,0.099448,0.0619238,1,62.4,63.7,62.3,64.1,49.6,30.0
6,FR_Vil_14_07,7,FR,France,Viltain,2014/10/27,2014,10,27,48.7543324,2.1584108,154.4,F,80,Catherine Montchamp-Moreau,0.071085495,0.013874315,0.08931083,0.018702988,0.04900297,0.013977128,0.0718329,0.110621,0.0836678,1,63.4,63.3,63.0,63.7,56.2,30.6
7,FR_Got_14_08,8,FR,France,Gotheron,2014/07/08,2014,7,8,44.976813,4.930005,178,S,80,Cristina Vieira,0.040522876,0.046745515,0.008832188,0.02019771,0.025440313,0.002277106,0.0633208,0.12758,0.074778,1,94.1,94.5,93.8,95.0,80.2,45.6
8,UK_She_14_09,9,UK,United Kingdom,Sheffield,2014/08/25,2014,8,25,53.39052,-1.520599,95.1,S,80,Damiano Porcelli,0.151146132,0.00640041,0.029977376,0.00349596,0.001540832,0.002952574,0.0809317,0.0220827,-0.0386215,4,86.3,86.3,85.8,86.7,74.2,41.7
9,UK_Sou_14_10,10,UK,United Kingdom,South Queensferry,2014/07/14,2014,7,14,55.972871,-3.351475,71.4,S,80,Darren Obbard,0.102137767,0.008065721,0.002824859,0.018467583,0.004591837,0.013529765,0.0754526,0.0215606,-0.0110713,1,50.9,50.6,50.8,50.7,47.8,24.8
10,CY_Nic_14_11,11,CY,Cyprus,Nicosia,2014/08/10,2014,8,10,35.066461,33.322646,264,S,80,Eliza Argyridou,0.323964497,0.121627373,0.149127446,0.01203865,0.144122765,0.001141987,0.0635245,-0.0377621,-0.146851,4,87.9,91.0,88.0,90.5,72.5,42.1
11,UK_Mar_14_12,12,UK,United Kingdom,Market Harborough,2014/10/20,2014,10,20,52.475769,-0.921517,80,F,80,Eran Tauber,0.017768301,0.010577915,0.03890411,0.008874393,0.022984887,0.020035461,0.0731397,0.0453395,0.00937786,1,90.5,91.5,90.5,91.2,81.2,44.7
12,UK_Lut_14_13,13,UK,United Kingdom,Lutterworth,2014/10/20,2014,10,20,52.433592,-1.102667,137,F,80,Eran Tauber,0.07589658,0.015945805,0.026666667,0.032061351,0.025664697,0.01928494,0.0736028,0.0379966,0.00273313,1,74.1,75.3,74.1,75.1,65.9,35.6
