,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,sampleId,cluster
1,-43.204,54.9418,-71.8025,-4.86874,2.33036,15.1921,-29.4484,3.20207,-0.517758,40.5965,Barghi:Tallahassee:Florida:North_America:Nov:NA:2010:Dsim_Fl_Base_1,1
2,-51.8307,50.0234,-88.1282,-7.27819,5.39473,18.4896,29.2736,-9.01953,8.51777,-48.2559,Machado:Linvilla:Pennsylania:North_America:Jul:01:2010:ECsimPA7_2010_pool_of_65_individuals,1
3,-47.5399,45.5541,-74.7039,-5.27191,2.54506,7.68648,10.2951,-2.68658,-1.84919,-6.78998,Machado:Linvilla:Pennsylania:North_America:Sep:01:2010:ECsimPA9_2010_pool_of_50_individuals,1
4,-47.2913,48.1956,-87.8106,-6.93286,5.45523,17.9732,29.064,-9.37926,8.5945,-47.4145,Machado:Linvilla:Pennsylania:North_America:Jul:01:2010:ECsimPA7_2010_pool_of_65_individuals,1
5,-42.7731,43.0758,-73.6422,-4.99476,2.58061,7.31455,10.3168,-3.10115,-1.53934,-6.77333,Machado:Linvilla:Pennsylania:North_America:Sep:01:2010:ECsimPA9_2010_pool_of_50_individuals,1
6,-7.16268,94.3084,30.4385,-4.38036,7.20217,15.5482,12.5366,-4.29014,-5.30628,134.383,Sedghifar:Miami:Florida:North_America:Sep:NA:2011:Florida,1
7,-18.5029,12.1678,-15.2261,-1.32673,1.05114,1.16569,0.863903,-0.649785,1.31625,14.0458,Sedghifar:Providence:Rhode_Island:North_America:Sep:NA:2011:D.sim_Rhode_Island,1
15,-36.8437,-16.0051,22.34,10.1978,13.1039,-5.57316,-3.46788,-0.410238,7.27788,13.0039,ES_Gim_14_34,1
16,-28.5145,-12.4752,18.209,7.96624,8.38781,-3.67575,-1.2416,-0.689658,2.79605,6.51481,ES_Gim_14_35,1
17,-110.033,-42.4122,58.1154,-27.6873,135.16,-69.0914,-20.0236,-81.0995,-3.12628,-12.0508,ES_Gim_16_33,1
18,-2.89396,-1.26257,2.26961,1.96789,-0.204638,-0.169556,-0.0686608,-0.544377,0.443431,-0.0518501,ES_Pur_16_35,1
19,-56.5829,-24.05,47.5303,189.558,-1.24847,31.3508,12.2092,-6.20798,-12.3056,-12.2638,FR_Got_15_48,1
20,-115.167,-38.1298,59.8703,-32.1402,-138.27,-6.49822,-14.3537,-88.1683,52.6106,-3.16561,IT_Mez_15_43,1
21,-143.997,-37.2285,50.2242,-45.7937,-39.321,3.74275,-3.03015,50.8992,-137.614,-19.0467,IT_Mez_15_44,1
22,-3.461,-1.28316,1.82425,0.87774,-0.589947,-0.115721,0.0736265,-0.398013,-0.331124,-0.0738757,IT_Tre_16_15,1
23,-130.035,-38.6026,56.0885,-21.8061,16.9953,-10.7152,-0.319001,125.986,94.3489,-8.61938,PT_Rec_15_16,1
8,124.61,-36.5475,-22.7427,0.407876,-7.62403,-18.1304,-21.7274,2.55085,3.07064,-15.3495,Sedghifar:Richmod:Virginia:North_America:Sep:NA:2011:D._sim_Virginia,2
9,128.902,-36.8964,-22.463,2.92336,-9.48923,-20.5834,-23.9355,0.698475,0.76829,-14.474,Sedghifar:Raleigh:North_Carolina:North_America:Sep:NA:2011:D._sim_North_Carolina,2
10,124.879,-72.6363,-23.2461,2.64104,-24.1222,-100.267,111.396,13.6975,-11.0772,31.622,Sedghifar:Fairfield:Maine:North_America:Sep:NA:2011:D._sim_Maine,2
11,133.339,-37.2498,-18.6,2.00489,-6.70531,-16.7953,-22.56,2.14115,0.0471635,-12.8905,Sedghifar:Princeton:New_Jersey:North_America:Sep:NA:2011:D._sim_New_Jersey,2
12,113.374,-113.818,32.1071,-47.6717,37.238,148.681,35.5816,-17.8472,4.79919,8.15941,Sedghifar:Panama_City:Panama:North_America:Jan:NA:2012:D._sim_Panama,2
13,159.953,177.366,147.31,-17.7501,-1.05245,-1.43034,15.8072,4.01517,-1.18871,-54.0314,Sedghifar:Conway:South_Carolina:North_America:Sep:NA:2011:D._sim_South_Carolina,2
14,100.777,-17.0351,-27.962,9.35808,-8.81748,-14.0984,-127.241,21.3014,-9.73536,12.9258,Sedghifar:Savannah:Georgia:North_America:Sep:NA:2011:D._sim_Georgia,2
