,population,propMissing,aveRD,medRD,lower5RD,upper95RD
1,Barghi:Tallahassee:Florida:North_America:Nov:NA:2010:Dsim_Fl_Base_1,0.022471723,11.17156987,11,2,21
2,Machado:Linvilla:Pennsylania:North_America:Jul:01:2010:ECsimPA7_2010_pool_of_65_individuals,0.009693599,29.21587088,29,4,55
3,Machado:Linvilla:Pennsylania:North_America:Sep:01:2010:ECsimPA9_2010_pool_of_50_individuals,0.006050804,49.92851138,50,8,94
4,Sedghifar:Miami:Florida:North_America:Sep:NA:2011:Florida,0.054611519,22.30666083,14,0,72
5,Sedghifar:Providence:Rhode_Island:North_America:Sep:NA:2011:D.sim_Rhode_Island,0.026062104,14.20599999,11,1,38
6,Sedghifar:Richmod:Virginia:North_America:Sep:NA:2011:D._sim_Virginia,0.008745272,34.25984533,34,6,63
7,Sedghifar:Raleigh:North_Carolina:North_America:Sep:NA:2011:D._sim_North_Carolina,0.008522962,36.10947519,36,7,67
8,Sedghifar:Fairfield:Maine:North_America:Sep:NA:2011:D._sim_Maine,0.010764777,41.18363014,41,7,76
9,Sedghifar:Princeton:New_Jersey:North_America:Sep:NA:2011:D._sim_New_Jersey,0.007378712,46.04678938,47,8,83
10,Sedghifar:Panama_City:Panama:North_America:Jan:NA:2012:D._sim_Panama,0.018425448,49.18070664,50,7,92
11,Sedghifar:Conway:South_Carolina:North_America:Sep:NA:2011:D._sim_South_Carolina,0.022068934,37.34613546,37,2,73
12,Sedghifar:Savannah:Georgia:North_America:Sep:NA:2011:D._sim_Georgia,0.019472535,25.80467341,21,3,63
13,ES_Gim_14_34,0.054089981,6.545846286,7,0,11
14,ES_Gim_14_35,0.052989539,6.435816508,7,0,11
15,ES_Gim_16_33,0.03998882,7.974705586,8,1,15
16,ES_Pur_16_35,0.052191297,5.943558092,6,0,10
17,FR_Got_15_48,0.079374866,8.913300341,8,0,20
18,IT_Mez_15_43,0.035657829,14.85848426,11,1,43
19,IT_Mez_15_44,0.020691996,25.25378512,21,2,63
20,IT_Tre_16_15,0.047365549,5.928040032,6,1,9
21,PT_Rec_15_16,0.024110219,32.98229278,21,2,110
