sampleId,country,city,collectionDate,lat,long,season,locality,type,continent,set,nFlies,SRA_accession,SRA_experiment,year,yday,stationId,dist_km
AT_Mau_14_01,Austria,Mauternbach,7/20/14,48.375,15.56,spring,AT_Mau,pooled,Europe,DrosEU,40,SRR5647751,SRX2885357,2014,201,AUM00011389,21.76492
AT_Mau_14_02,Austria,Mauternbach,10/19/14,48.375,15.56,fall,AT_Mau,pooled,Europe,DrosEU,40,SRR5647750,SRX2885358,2014,292,AUM00011389,21.76492
AT_Mau_15_50,Austria,Mauternbach,7/20/15,48.375,15.56,spring,AT_Mau,pooled,Europe,DrosEU,40,SRR8439127,SRX5246581,2015,201,AUM00011389,21.76492
AT_Mau_15_51,Austria,Mauternbach,10/19/15,48.375,15.56,fall,AT_Mau,pooled,Europe,DrosEU,40,SRR8439143,SRX5246565,2015,292,AUM00011389,21.76492
AT_See_14_44,Austria,Seeboden,8/17/14,46.81369,13.50795,spring,AT_See,pooled,Europe,DrosEU,40,SRR5647746,SRX2885362,2014,229,AUM00011212,26.68768
AT_See_16_1,Austria,Seeboden,8/1/16,46.81369,13.50795,spring,AT_See,pooled,Europe,DrosEU,40,SRR8494439,SRX5299028,2016,214,AUM00011212,26.68768
BY_Bre_15_13,Belarus,Brest,9/11/15,52.14219,23.66243,spring,BY_Bre,pooled,Europe,DrosEU,40,SRR8439157,SRX5246551,2015,254,BOM00033008,3.170051
CH_Cha_14_42,Switzerland,Chalet à Gobet,7/24/14,46.56704,6.701867,spring,CH_Cha,pooled,Europe,DrosEU,40,SRR5647754,SRX2885354,2014,205,SZE00116090,33.6229
CH_Cha_14_43,Switzerland,Chalet à Gobet,10/5/14,46.56704,6.701867,fall,CH_Cha,pooled,Europe,DrosEU,40,SRR5647758,SRX2885350,2014,278,SZE00116090,33.6229
CH_Cha_15_39,Switzerland,Chalet à Gobet,8/1/15,46.56704,6.701867,spring,CH_Cha,pooled,Europe,DrosEU,40,SRR8439166,SRX5246542,2015,213,SZE00116090,33.6229
CH_Cha_16_38,Switzerland,Chalet à Gobet,8/15/16,46.56704,6.701867,spring,CH_Cha,pooled,Europe,DrosEU,40,SRR8494459,SRX5299008,2016,228,SZE00116090,33.6229
CY_Nic_14_11,Cyprus,Nicosia,8/10/14,35.06646,33.32265,spring,CY_Nic,pooled,Europe,DrosEU,40,SRR5647756,SRX2885352,2014,222,CY000176090,34.89257
DE_Bro_14_14,Germany,Broggingen,6/26/14,48.21802,7.819513,spring,DE_Bro,pooled,Europe,DrosEU,40,SRR5647762,SRX2885346,2014,177,GME00121750,8.94526
DE_Bro_14_15,Germany,Broggingen,10/15/14,48.21802,7.819513,fall,DE_Bro,pooled,Europe,DrosEU,40,SRR5647761,SRX2885347,2014,288,GME00121750,8.94526
DE_Bro_15_53,Germany,Broggingen,6/30/15,48.218,7.82,spring,DE_Bro,pooled,Europe,DrosEU,40,SRR8439148,SRX5246560,2015,181,GME00121750,8.937843
DE_Bro_15_54,Germany,Broggingen,10/25/15,48.218,7.82,fall,DE_Bro,pooled,Europe,DrosEU,40,SRR8439144,SRX5246564,2015,298,GME00121750,8.937843
DE_Bro_16_10,Germany,Broggingen,7/24/16,48.21802,7.819513,spring,DE_Bro,pooled,Europe,DrosEU,40,SRR8494434,SRX5299033,2016,206,GME00121750,8.94526
DE_Bro_16_11,Germany,Broggingen,10/23/16,48.21802,7.819513,fall,DE_Bro,pooled,Europe,DrosEU,40,SRR8494452,SRX5299015,2016,297,GME00121750,8.94526
DE_Mun_14_31,Germany,Munich,6/19/14,48.18,11.61,spring,DE_Mun,pooled,Europe,DrosEU,40,SRR5647744,SRX2885364,2014,170,GM000004199,8.13092
DE_Mun_14_32,Germany,Munich,9/3/14,48.18,11.61,fall,DE_Mun,pooled,Europe,DrosEU,40,SRR5647745,SRX2885363,2014,246,GM000004199,8.13092
DE_Mun_15_45,Germany,Munich,6/1/15,48.18,11.61,spring,DE_Mun,pooled,Europe,DrosEU,40,SRR8439125,SRX5246583,2015,152,GM000004199,8.13092
DE_Mun_15_46,Germany,Munich,9/1/15,48.18,11.61,spring,DE_Mun,pooled,Europe,DrosEU,40,SRR8439124,SRX5246584,2015,244,GM000004199,8.13092
DE_Mun_16_12,Germany,Munich,6/25/16,48.18,11.61,spring,DE_Mun,pooled,Europe,DrosEU,40,SRR8494451,SRX5299016,2016,177,GM000004199,8.13092
DE_Mun_16_13,Germany,Munich,9/1/16,48.18,11.61,spring,DE_Mun,pooled,Europe,DrosEU,40,SRR8494454,SRX5299013,2016,245,GM000004199,8.13092
DK_Kar_14_39,Denmark,Karensminde,9/1/14,55.94513,10.21259,fall,DK_Kar,pooled,Europe,DrosEU,40,SRR5647772,SRX2885336,2014,244,DAE00100980,28.19489
DK_Kar_14_41,Denmark,Karensminde,11/25/14,55.94513,10.21259,fall,DK_Kar,pooled,Europe,DrosEU,40,SRR5647771,SRX2885337,2014,329,DAE00100980,28.19489
DK_Kar_16_2,Denmark,Karensminde Orchard,6/8/16,55.94513,10.21259,spring,DK_Kar,pooled,Europe,DrosEU,40,SRR8494440,SRX5299027,2016,160,DAE00100980,28.19489
DK_Kar_16_3,Denmark,Karensminde Orchard,9/15/16,55.94513,10.21259,spring,DK_Kar,pooled,Europe,DrosEU,40,SRR8494438,SRX5299029,2016,259,DAE00100980,28.19489
DK_Kar_16_4,Denmark,Karensminde Orchard,11/22/16,55.94513,10.21259,fall,DK_Kar,pooled,Europe,DrosEU,40,SRR8494437,SRX5299030,2016,327,DAE00100980,28.19489
ES_Ben_16_32,Spain,Benalua,10/8/16,37.35373,-3.167179,fall,ES_Ben,pooled,Europe,DrosEU,40,SRR8494475,SRX5298992,2016,282,SPE00120089,58.10591
ES_Cor_15_33,Spain,Cortes de Baza,8/8/15,37.66155,-2.79631,spring,ES_Cor,pooled,Europe,DrosEU,40,SRR8439163,SRX5246545,2015,220,SPE00120170,90.08072
ES_Gim_14_34,Spain,Gimenells,10/20/14,41.61759,0.620015,fall,ES_Gim,pooled,Europe,DrosEU,40,SRR5647769,SRX2885339,2014,293,SPE00120242,2.266605
ES_Gim_14_35,Spain,Gimenells,8/13/14,41.61759,0.620015,spring,ES_Gim,pooled,Europe,DrosEU,40,SRR5647776,SRX2885332,2014,225,SPE00120242,2.266605
ES_Gim_15_30,Spain,Gimenells,6/28/15,41.65642,0.388472,spring,ES_Gim,pooled,Europe,DrosEU,40,SRR8439138,SRX5246570,2015,179,SPE00156468,5.797183
